title,company,location,skills,link,salary_min,salary_max,mid_salary,is_remote,has_english
Privacy Data Analyst with Spanish,TP Poland Sp. z o.o.,Kraków,"['Obsługa klienta', 'Protocols', 'Communication skills', 'Google Workspace']",/pl/job/privacy-data-analyst-with-spanish-tp-poland-cracow,5500.0,6500.0,6000.0,False,False
Privacy Data Analyst with Italian,TP Poland Sp. z o.o.,Kraków,"['Obsługa klienta', 'Protocols', 'Communication skills', 'Google Workspace']",/pl/job/privacy-data-analyst-with-italian-tp-poland-cracow,6000.0,7000.0,6500.0,False,False
Privacy Data Analyst with Swedish,TP Poland Sp. z o.o.,Kraków,"['Obsługa klienta', 'Protocols', 'Communication skills', 'Google Workspace']",/pl/job/privacy-data-analyst-with-swedish-tp-poland-cracow,7000.0,8000.0,7500.0,False,False
Regulatory Data Analyst  NOWA,Diverse CG Sp. z o.o. Sp.k.,Łódź,"['Data', 'Data analytics', 'Data migration', 'DORA']",/pl/job/regulatory-data-analyst-diverse-cg-sp-k--lodz,16800.0,18480.0,17640.0,False,False
Data & Agile Delivery Analyst  NOWA,Ework Group,Wrocław,"['Data', 'SQL', 'Power BI', 'Jira']",/pl/job/data-agile-delivery-analyst-ework-group-wroclaw,18480.0,22680.0,20580.0,False,False
Data Analyst (Capital Reporting Support)  NOWA,Ework Group,Warszawa,"['Data', 'SQL', 'Python', 'UAT']",/pl/job/data-analyst-capital-reporting-support-ework-group-warszawa,20160.0,24360.0,22260.0,False,False
Senior Business Analyst (Data & Analytics)  NOWA,hubQuest,Zdalnie,"['Business Analysis', 'Business analysis', 'Stakeholder management', 'Data Requirements Management']",/pl/job/senior-business-analyst-data-analytics-hubquest-remote-1,23500.0,28500.0,26000.0,True,False
Senior Data Quality Management Analyst (Tech Business Analyst)  NOWA,Antal,Kraków,"['Data', 'Business Analyst', 'GCP', 'BigQuery']",/pl/job/senior-data-quality-management-analyst-tech-business-analyst-antal-krakow,,,,False,False
Technical Business Data Analyst  NOWA,Verita HR,Kraków,"['Business Analysis', 'Data analytics', 'Business analysis', 'Hadoop']",/pl/job/technical-business-data-analyst-verita-hr-krakow,24000.0,28500.0,26250.0,False,False
"Data Analyst (with Chinese, Japanese, Korean) (Sourcing Requisition)",Capgemini,Warszawa,"['Data', 'Data analytics', 'Excel', 'Power BI']",/pl/job/data-analyst-with-chinese-japanese-korean-sourcing-requisition-capgemini-warszawa,,,,False,False
